,Rank (2017),City,Counties,State,Mayor,Nickname,Population Estimate (2017),2010 Census,Change,2016 Land Area (sq mi),2016 Population Density (per sq mi),"Location (N,W)"
301,302.0,El Cajon,San Diego,California,Bill Wells,None,103241,99478,+3.78%,14.5,7156,"(32.8017, 116.9604)"
302,303.0,Las Cruces,Doña Ana,New Mexico,Ken Miyagishima,The City of the Crosses,102926,97618,+5.44%,76.9,1323,"(32.3264, 106.7897)"
303,304.0,Renton,King,Washington,Denis Law,None,102153,90927,+12.35%,23.4,4314,"(47.4761, 122.1920)"
304,305.0,Davenport,Scott,Iowa,Frank Klipsch ,Iowa's Front Porch,102085,99685,+2.41%,62.9,1631,"(41.5541, 90.6040)"
305,306.0,South Bend,St. Joseph,Indiana,Pete Buttigieg ,None,101860,101168,+0.68%,41.4,2457,"(41.6769, 86.2690)"
306,307.0,Vista,San Diego,California,Judy Ritter,None,101224,93834,+7.88%,18.7,5436,"(33.1895, 117.2386)"
307,308.0,Tuscaloosa,Tuscaloosa,Alabama,Walter Maddox ,Druid City,101113,90468,+11.77%,71.7,1399,"(33.2065, 87.5346)"
308,309.0,Clinton Township,Macomb,Michigan,N/A,None,100800,96796,+4.14%,28.1,3573,"(42.5903, 82.9170)"
309,310.0,Edison,Middlesex,New Jersey,Thomas Lankey (D,"""Birthplace of the Modern World""",100693,99967,+0.73%,30.1,3389,"(40.5040, 74.3494)"
310,311.0,Woodbridge,Middlesex,New Jersey,John McCormac (D,None,100450,99585,+0.87%,23.3,4351,"(40.5607, 74.2927)"
