,Rank (2017),City,Counties,State,Mayor,Nickname,Population Estimate (2017),2010 Census,Change,2016 Land Area (sq mi),2016 Population Density (per sq mi),"Location (N,W)"
160,161.0,Lancaster,Los Angeles,California,R. Rex Parris,None,159053,156633,+1.55%,94.3,1698,"(34.6936, 118.1753)"
161,162.0,Lakewood,Jefferson County,Colorado,Adam Paul,None,156798,142980,+9.66%,42.9,3599,"(39.6989, 105.1176)"
162,163.0,Clarksville,Montgomery,Tennessee,Joe Pitts, Queen of the Cumberland,156794,132929,+17.95%,98.3,1529,"(36.5664, 87.3452)"
163,164.0,Palmdale,Los Angeles,California,Steve Hofbauer,None,156667,152750,+2.56%,106.0,1484,"(34.5910, 118.1054)"
164,165.0,Salinas,Monterey,California,Joe Gunter,"""The Salad Bowl of the World""",156259,150441,+3.87%,23.6,6662,"(36.6902, 121.6337)"
165,166.0,Springfield,Hampden,Massachusetts,Domenic Sarno ,The City of Firsts,155032,153060,+1.29%,31.9,4830,"(42.1155, 72.5400)"
166,167.0,Hollywood,Broward,Florida,Josh Levy,Diamond of the Gold Coast,154823,140768,+9.98%,27.3,5568,"(26.0310, 80.1646)"
167,168.0,Pasadena,Harris,Texas,Jeff Wagner,None,153219,149043,+2.80%,43.5,3525,"(29.6586, 95.1506)"
168,169.0,Sunnyvale,Santa Clara,California,Larry Klein,None,153185,140081,+9.35%,22.0,6944,"(37.3858, 122.0263)"
169,170.0,Macon,Bibb,Georgia,Robert Reichert ,None,153095,91351,+67.59%,249.3,612,"(32.8088, 83.6942)"
170,171.0,Kansas City,Wyandotte,Kansas,David Alvey,"""KCK""",152958,145786,+4.92%,124.8,1216,"(39.1225, 94.7418)"
171,172.0,Pomona,Los Angeles,California,N/A,P-Town,152361,149058,+2.22%,23.0,6630,"(34.0585, 117.7611)"
172,173.0,Escondido,San Diego,California,Paul McNamara ,None,152213,143911,+5.77%,37.1,4087,"(33.1331, 117.0740)"
173,174.0,Killeen,Bell,Texas,Jose Segarra,"""K-Town",149103,127921,+16.56%,53.5,2680,"(31.0777, 97.7320)"
174,175.0,Naperville,"DuPage, Will",Illinois,Steve Chirico ,None,148304,141853,+4.55%,38.7,3802,"(41.7492, 88.1620)"
175,176.0,Joliet,"Will, Kendall",Illinois,Bob O'Dekirk ,None,148099,147433,+0.45%,64.4,2302,"(41.5177, 88.1488)"
176,177.0,Bellevue,King,Washington,John Chelminiak,None,147599,122363,+20.62%,33.5,4221,"(47.5979, 122.1565)"
177,178.0,Rockford,"Winnebago, Ogle",Illinois,Thomas McNamara , The Forest City,146526,152871,-4.15%,63.5,2325,"(42.2588, 89.0646)"
178,179.0,Savannah,Chatham,Georgia,Eddie DeLoach ,"""The Hostess City of the South""",145862,136286,+7.03%,103.6,1417,"(32.0025, 81.1536)"
